Company_Name,% of Market Value,Sector,Market Allocation,Market Value,Shares,Ticker
Citizens Financial Services Inc.,0.00%,Banks,US,"$52,219.66 ",445,CZFS
City Holding Co.,0.00%,Banks,US,"$180,458.68 ","1,461",CHCO
Civista Bancshares Inc.,0.00%,Banks,US,"$36,491.33 ","1,697",CIVB
Codorus Valley Bancorp Inc.,0.00%,Banks,US,"$30,869.89 ","1,159",CVLY
Colony Bankcorp Inc.,0.00%,Banks,US,"$25,129.69 ","1,877",CBAN
Columbia Financial Inc.,0.00%,Banks,US,"$88,197.57 ","3,879",CLBK
Community Financial Corp.,0.00%,Banks,US,"$26,758.34 ",648,TCFC
Community Trust Bancorp Inc.,0.00%,Banks,US,"$85,638.56 ","1,755",CTBI
ConnectOne Bancorp Inc.,0.00%,Banks,US,"$86,840.65 ","4,062",CNOB
CrossFirst Bankshares Inc.,0.00%,Banks,US,"$54,782.90 ","4,031",CFB
Customers Bancorp Inc.,0.00%,Banks,US,"$94,656.22 ","3,199",CUBI
CVB Financial Corp.,0.00%,Banks,US,"$289,852.10 ","14,291",CVBF
Dave Inc.,0.00%,Banks,US,"$5,514.80 ",729,DAVE
